size = 17
Starlight     |Illuminates an area 
Vine Strike   |Attacks Spell       
Cause Harm    |Attack Spell        
Minor Healing |Healing Spell       
Turn Undead   |Attack Spirits      
Bless         |Hit more often      
Curse         |Hits less           
Smite         |Increases Strength  
Illuminate    |Brightens Room      
Ethereal Shiel|Force Field for U   
Alertness     |Increase Perception 
Regenerate Wou|Heals target        
Resist Cold   |Protects from cold  
Charm Animal  |Animal attacks others
Chaos         |Attack Spell        
Resist Fire   |Protects from fire  
Antidote      |Rid toxins/poisons  

